github.com/andybalholm/brotli,https://github.com/andybalholm/brotli/blob/v1.1.1/LICENSE,MIT
github.com/andybalholm/cascadia,https://github.com/andybalholm/cascadia/blob/v1.3.2/LICENSE,BSD-2-Clause
github.com/apparentlymart/go-cidr/cidr,https://github.com/apparentlymart/go-cidr/blob/v1.1.0/LICENSE,MIT
github.com/apparentlymart/go-textseg/v15/textseg,https://github.com/apparentlymart/go-textseg/blob/v15.0.0/LICENSE,MIT
github.com/armon/go-metrics,https://github.com/armon/go-metrics/blob/v0.4.1/LICENSE,MIT
github.com/arsham/figurine/figurine,https://github.com/arsham/figurine/blob/v1.3.0/LICENSE,Apache-2.0
github.com/arsham/rainbow/rainbow,https://github.com/arsham/rainbow/blob/v1.2.1/LICENSE,Apache-2.0
github.com/atotto/clipboard,https://github.com/atotto/clipboard/blob/v0.1.4/LICENSE,BSD-3-Clause
github.com/avast/retry-go,https://github.com/avast/retry-go/blob/v3.0.0/LICENSE,MIT
github.com/aws/aws-sdk-go,https://github.com/aws/aws-sdk-go/blob/v1.55.7/LICENSE.txt,Apache-2.0
github.com/aws/aws-sdk-go-v2,https://github.com/aws/aws-sdk-go-v2/blob/v1.39.3/LICENSE.txt,Apache-2.0
github.com/aws/aws-sdk-go-v2/aws/protocol/eventstream,https://github.com/aws/aws-sdk-go-v2/blob/aws/protocol/eventstream/v1.7.2/aws/protocol/eventstream/LICENSE.txt,Apache-2.0
github.com/aws/aws-sdk-go-v2/config,https://github.com/aws/aws-sdk-go-v2/blob/config/v1.31.13/config/LICENSE.txt,Apache-2.0
github.com/aws/aws-sdk-go-v2/credentials,https://github.com/aws/aws-sdk-go-v2/blob/credentials/v1.18.17/credentials/LICENSE.txt,Apache-2.0
github.com/aws/aws-sdk-go-v2/feature/ec2/imds,https://github.com/aws/aws-sdk-go-v2/blob/feature/ec2/imds/v1.18.10/feature/ec2/imds/LICENSE.txt,Apache-2.0
github.com/aws/aws-sdk-go-v2/feature/s3/manager,https://github.com/aws/aws-sdk-go-v2/blob/feature/s3/manager/v1.19.13/feature/s3/manager/LICENSE.txt,Apache-2.0
github.com/aws/aws-sdk-go-v2/internal/configsources,https://github.com/aws/aws-sdk-go-v2/blob/internal/configsources/v1.4.10/internal/configsources/LICENSE.txt,Apache-2.0
github.com/aws/aws-sdk-go-v2/internal/endpoints/v2,https://github.com/aws/aws-sdk-go-v2/blob/internal/endpoints/v2.7.10/internal/endpoints/v2/LICENSE.txt,Apache-2.0
